player,team,games,fgm,fga,ftm,fta,tpm,pts,reb,ast,stl,blk,tov
Shai Gilgeous-Alexander,OKC,68,10.953965785381028,20.297667185069983,7.865007776049767,8.894090202177294,1.7951788491446343,31.550699844479006,4.688180404354588,6.482426127527215,1.5763608087091758,0.8825816485225505,2.2709175738724734
Nikola Jokić,DEN,63,10.252823289902281,17.909834690553744,5.502524429967426,6.711315146579804,1.699526058631922,27.759834690553745,12.575754885993486,10.155606677524428,1.5137557003257331,0.7332956026058632,3.4210301302931594
Victor Wembanyama,SAS,55,9.085141776937617,18.35563327032136,5.242491493383743,6.362003780718338,2.331599243856332,25.794268431001893,11.923697542533082,3.5657277882797733,1.1161058601134215,3.5506994328922494,2.950166351606805
Luka Dončić,LAL,56,11.282,24.046000000000006,7.867999999999999,10.052,4.184,34.646,8.033333333333333,8.32777777777778,1.6296296296296298,0.4722222222222222,4.2
Tyrese Maxey,PHI,61,8.45961111111111,18.619027777777777,4.5045,5.1205,2.7173055555555554,24.170666666666666,3.8347222222222213,6.415972222222221,1.7635416666666666,0.6552083333333333,2.037138888888889
Jamal Murray,DEN,67,8.440787401574804,17.526771653543307,4.011968503937008,4.53007874015748,2.9091338582677166,23.74362204724409,4.213858267716536,6.696062992125984,1.0675590551181102,0.4595275590551181,2.2181102362204723
Karl-Anthony Towns,NYK,70,7.637519142419602,14.967840735068913,4.700459418070444,5.490199081163859,1.731852986217458,21.683767228177647,11.855895865237368,3.0330781010719754,0.9140888208269526,0.5851454823889741,2.604134762633997
Donovan Mitchell,CLE,65,9.129611650485439,19.49967637540453,4.894174757281554,5.728640776699029,3.2433656957928805,26.44012944983819,4.553398058252427,5.494336569579287,1.4577669902912622,0.2833333333333334,2.5587378640776697
Anthony Edwards,MIN,67,9.682772946859902,20.616975845410625,5.6193623188405795,6.88984541062802,3.6107342995169076,28.53257004830918,5.4243961352657,4.267082125603865,1.337169082125604,0.6992173913043478,3.100734299516908
Scottie Barnes,TOR,71,7.3401068702290075,15.167633587786261,3.2398625954198472,4.094015267175572,1.0838473282442747,18.99458015267175,7.776137404580154,6.006320610687022,1.418656488549618,1.3781679389312975,2.731419847328244
Cade Cunningham,DET,63,9.195506756756757,19.78937837837838,4.680628378378379,5.695804054054055,2.0655,25.045824324324325,5.698905405405406,9.552162162162164,1.229858108108108,0.7732702702702704,3.9952297297297314
Cooper Flagg,DAL,65,9.126578739274125,19.474186617270718,4.519945498592871,5.565716329149956,1.2920171667266356,24.06667893098787,7.570468416254543,4.899355006043938,1.3490122294780125,0.9990946700339652,2.6432893392133243
Kawhi Leonard,LAC,45,8.492275793650794,16.757942460317455,4.296415674603174,4.905495039682538,2.1922906746031736,23.461047619047616,5.6557113095238085,3.158342261904761,1.6230744047619041,0.4429831349206348,1.7656478174603172
Chet Holmgren,OKC,55,6.204057361376673,11.461640535372851,3.251323135755258,4.0887762906309755,1.3926998087954108,16.952868068833652,8.749571701720841,1.9021147227533457,0.6307227533460803,2.058137667304015,1.6694455066921607
Austin Reaves,LAL,57,7.6969381848994205,16.1419442629362,5.755333004717405,6.633937614574253,2.7414766207419126,23.988126001124357,4.828221575250182,5.9457209392923565,1.117309021789741,0.36602815143128986,3.0070725860987317
Devin Booker,PHX,64,8.673246329526917,18.828874388254487,6.500815660685154,7.320717781402936,2.116802610114192,26.027406199021204,4.039967373572593,6.503588907014681,0.8477977161500816,0.27438825448613374,2.9711256117455136
